Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Trout Chow","Purina Wall > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725482/trout-chow,2.0,-1,Boulder,V0-,1,10,34.0202,-116.165
"Monkey Chow","Purina Wall > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106655795/monkey-chow,2.0,-1,Boulder,V4,1,10,34.0202,-116.165
"Laura Scudder","Laura Scudder Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/109150874/laura-scudder,2.3,-1,Boulder,V2,1,12,34.01896,-116.16562
"Problem B","Under Lizzy Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/112453959/problem-b,2.0,-1,Boulder,V0,1,13,34.01907,-116.16609
"Brown Sugar","Under Lizzy Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/112453963/brown-sugar,2.7,-1,Boulder,V0,1,13,34.01907,-116.16609
"King Smear (Friction Addiction)","Mutant Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/112454269/king-smear-friction-addiction,3.0,-1,Boulder,V3,1,20,34.02247,-116.16414
"Flight Attendant","Flight Attendant Rock > Ryan Campground Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725548/flight-attendant,2.6,-1,Boulder,V4,1,15,33.983,-116.1545
Jerryatric,"Moffat Boulder > Ryan Campground Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106819713/jerryatric,2.0,-1,Boulder,V2,1,20,33.983,-116.1545
"Fidelman Arete","Fidelman Boulder > Ryan Campground Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106123972/fidelman-arete,2.1,-1,Boulder,V1,1,15,33.98416,-116.1526
"Figure Five","Fidelman Boulder > Ryan Campground Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106123975/figure-five,1.8,-1,Boulder,V2,1,15,33.98416,-116.1526
"Facet Cut","Facet Boulder > Ryan Campground Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106157163/facet-cut,2.5,-1,Boulder,V4,1,15,33.98414,-116.1525
